마가, 94, 177
차카, 46, 159
타다, 97, 155
파가, 73, 164
차가, 58, 166
하자, 98, 144
마다, 96, 179
사바, 75, 158
사파, 73, 170
바아, 82, 182
차자, 71, 191
사마, 96, 188
카타, 70, 145
나하, 48, 176
카나, 99, 164
타자, 81, 199
카다, 74, 198
자아, 78, 176
자가, 52, 170
라하, 57, 178
라바, 72, 172
파가, 61, 154
파바, 58, 165
사나, 93, 187
다바, 82, 144
아나, 61, 155
나타, 74, 174
사가, 87, 144
아다, 51, 186
자라, 40, 191
다다, 77, 154
아다, 77, 189
하자, 82, 189
파나, 70, 178
사바, 46, 186
나나, 42, 199
가바, 83, 145
마차, 67, 143
카바, 86, 171
파파, 82, 194
마파, 41, 143
다아, 86, 155
사아, 72, 183
나타, 54, 174
라가, 76, 151
나카, 91, 144
다바, 67, 146
바하, 75, 151
가카, 84, 156
바마, 49, 187
차파, 99, 144
다다, 68, 157
타카, 91, 161
마라, 50, 152
마다, 59, 141
다파, 54, 185
나파, 69, 148
타나, 69, 196
타다, 50, 168
아라, 67, 190
가바, 74, 185
자파, 53, 169
아차, 94, 154
라카, 60, 179
사나, 78, 163
마아, 47, 143
라마, 40, 178
가사, 84, 153
하바, 41, 155
타아, 68, 159
타자, 62, 166
파타, 54, 195
파가, 90, 149
자마, 57, 152
타타, 62, 149
자마, 80, 181
사카, 59, 172
파마, 66, 191
자다, 41, 172
라차, 63, 153
카라, 60, 186
사아, 97, 187
바차, 59, 153
하파, 46, 179
사가, 47, 179
자아, 57, 147
라라, 93, 188
카마, 52, 177
차마, 90, 180
파하, 69, 191
바나, 48, 170
나라, 59, 199
다하, 86, 177
카다, 53, 191
바하, 54, 153
파카, 61, 177
가다, 66, 194
바타, 65, 161
나차, 43, 174
바마, 89, 161
자마, 74, 145
라다, 52, 194
자다, 59, 147
라카, 74, 191
나카, 46, 155
마아, 59, 191
타가, 48, 187
파타, 79, 170
가바, 56, 140
다사, 80, 156
아나, 97, 186
아자, 58, 153
사다, 69, 161
다카, 57, 141
사다, 73, 198
차타, 50, 155
가마, 73, 188
사아, 75, 184
아사, 87, 197
가하, 95, 146
바아, 92, 162
라마, 65, 142
아타, 87, 164
라바, 65, 184
차마, 84, 169
파카, 59, 156
나바, 85, 161
사타, 89, 153
사라, 97, 152
파사, 55, 165
다차, 53, 160
자자, 79, 153
하자, 60, 170
타파, 93, 141
자라, 63, 183
사나, 83, 190
바바, 52, 143
라가, 40, 150
차자, 86, 167
라카, 75, 193
파하, 79, 192
타하, 70, 147
마타, 49, 163
마라, 64, 162
차다, 44, 161
바파, 41, 159
바마, 79, 184
카카, 62, 169
아하, 66, 193
자파, 95, 159
라라, 44, 183
라마, 59, 178
자하, 45, 183
라라, 43, 191
타나, 70, 187
